,date,symbol,open,close,low,high,volume,eps,pe,yield1,yield3,yield6,yield12,ma50,ma200,ma300,hi91,hi182,hi365,lo91,lo182,lo365
488757,2014-02-06,ATVI,16.99,17.17,16.950001,17.200001,7359100.0,1.14,15.061403508771933,-3.9171850074322947,0.3506662565361722,-1.6609336575563276,26.529108327192347,17.49205876470588,17.15086328776977,16.33745190865385,21.5,23.790001,24.18,16.950001,16.950001,16.950001
489207,2014-02-07,ABBV,48.0,48.889998999999996,47.66,49.029999,6979500.0,1.11,44.045044144144136,-1.8864197516989947,2.1734609058917727,9.668005398474406,38.02936691300772,50.162353323529416,47.548142871428546,46.37504806730769,54.73,58.27,70.760002,45.5,45.5,45.5
489209,2014-02-07,ABT,36.77,37.18,36.650002,37.209998999999996,12028000.0,1.5,24.786666666666665,-4.934801714783916,-1.5620863118877537,4.4088709798126615,8.396504617973903,37.9767645,36.404285564285715,36.402788350961536,40.490002000000004,43.27,46.5,36.650002,36.650002,36.650002
489247,2014-02-07,ATVI,18.950001,19.639999,18.780001000000002,19.950001,29880800.0,1.14,17.228069298245615,9.9048567484691,13.394913394919158,12.61466670787459,45.3737897853442,17.564411676470588,17.168642828571414,16.361394211538467,21.5,23.790001,24.18,18.780001000000002,18.780001000000002,17.73
489697,2014-02-10,ABBV,48.75,49.549999,48.720001,50.189999,7907500.0,1.11,44.63963873873873,-1.881190099009899,1.3914467237865011,14.24948153676462,31.85203928408521,49.99545487878788,47.63311594202897,46.414038451923076,54.73,58.27,70.760002,45.5,45.5,45.5
489699,2014-02-10,ABT,37.169998,37.16,36.959998999999996,37.32,11207300.0,1.5,24.77333333333333,-6.019223418836049,-2.055875120081069,6.536694193328714,5.929298407679667,37.95454527272727,36.411811442028984,36.407740269230764,40.490002000000004,43.27,46.5,36.650002,36.650002,36.650002
489737,2014-02-10,ATVI,19.25,19.360001,18.950001,19.549999,16779600.0,1.14,16.98245701754386,11.713796884016176,10.502288812785395,15.306729284888078,34.725128740431444,17.606666575757576,17.226159398550713,16.385817293269234,21.5,23.790001,24.18,18.82,18.82,17.73
490187,2014-02-11,ABBV,49.41,49.66,49.040001000000004,49.970001,7217600.0,1.11,44.73873873873873,-0.7990431322604366,1.6165357400559799,14.503115390894976,30.03404372961623,49.98558855882353,47.67239128985504,46.44870190865384,54.73,58.27,70.760002,45.5,45.5,45.5
490189,2014-02-11,ABT,37.049999,37.950001,37.049999,38.0,8643000.0,1.5,25.300000666666666,-3.68020539694389,0.02636267860734165,8.801605252247555,8.989089603676064,37.954411617647054,36.4217389710145,36.4151921875,40.490002000000004,43.27,46.5,36.650002,36.650002,36.650002
490227,2014-02-11,ATVI,19.16,19.370001000000002,19.0,19.549999,8944900.0,1.14,16.991228947368423,14.209918290679141,10.559366438356179,15.366288542805933,32.39918660287083,17.658529352941176,17.256521724637672,16.409567298076922,21.5,23.790001,24.18,18.82,18.82,17.73
490677,2014-02-12,ABBV,49.630001,50.560001,49.59,50.93,6534500.0,1.11,45.54955045045045,1.1200019999999995,3.4581584501362386,16.578284910728257,32.390684273126055,49.926176764705886,47.71420288405794,46.488701903846156,54.73,58.27,70.760002,45.5,45.5,45.5
490679,2014-02-12,ABT,37.93,38.259997999999996,37.889998999999996,38.380001,8793500.0,1.5,25.50666533333333,-2.19836662061266,0.8434343922887138,9.690358093739732,9.87937392303273,37.949117470588234,36.43246360144927,36.41990372115385,40.490002000000004,43.27,46.5,36.650002,36.650002,36.650002
490717,2014-02-12,ATVI,19.49,19.629998999999998,19.24,19.690001000000002,8002900.0,1.14,17.219297368421053,16.9148173368185,12.043373287671216,16.9148173368185,34.17634313055365,17.702058735294116,17.272246362318832,16.435769216346152,21.5,23.790001,24.18,18.82,18.82,17.73
491167,2014-02-13,ABBV,50.299999,50.349998,49.880001,50.52,4946000.0,1.11,45.36035855855855,0.6999959999999987,3.900121830378083,17.174765716202785,31.8407942351609,49.86705902941177,47.73316543884889,46.52730766346153,54.73,58.27,70.760002,45.5,45.5,45.5
491169,2014-02-13,ABT,38.07,38.720001,38.060001,38.810001,7253200.0,1.5,25.813334,-1.022489801188371,0.025838285348456225,11.552872703914545,11.200462377943722,37.96470576470588,36.44892070503597,36.428749874999994,40.490002000000004,43.27,46.5,36.650002,36.650002,36.650002
491207,2014-02-13,ATVI,19.549999,19.77,19.48,19.860001,7971400.0,1.14,17.342105263157897,17.74865290359422,17.051516699320118,18.029850746268664,35.13328776486671,17.74911755882353,17.290215812949633,16.462932677884613,21.5,23.790001,24.18,18.82,18.82,17.73
491657,2014-02-14,ABBV,50.560001,50.73,50.169998,50.91,4118700.0,1.11,45.702702702702695,1.4599999999999937,5.797703737274148,19.900729853445284,32.83582437381051,49.89171448571429,47.75457139999997,46.56740382211538,54.73,58.27,70.760002,45.5,45.5,45.5
491659,2014-02-14,ABT,38.68,38.810001,38.549999,38.98,7253400.0,1.5,25.873334,-0.7924284456142203,1.650081194342576,12.038112356758447,11.45893452039057,37.98885705714286,36.46578556428571,36.436490259615375,40.490002000000004,43.27,46.5,36.650002,36.650002,36.650002
491697,2014-02-14,ATVI,19.42,19.799999,19.299999,19.93,9006300.0,1.14,17.368420175438597,17.927324721421996,15.116266563007756,19.420983112183364,35.33833902939165,17.80771417142857,17.30814283571428,16.489567288461537,21.5,23.790001,24.18,18.82,18.82,17.73
492147,2014-02-18,ABBV,50.639998999999996,51.459998999999996,50.560001,51.560001,4984900.0,1.11,46.36035945945945,7.679426497605618,6.3003491014253115,18.434977711507997,37.704041683276444,49.76852955882354,47.85846710218974,46.60937195169081,54.73,58.27,70.760002,45.5,45.5,45.5
492149,2014-02-18,ABT,38.959998999999996,38.93,38.799999,39.189999,6794100.0,1.5,25.953333333333333,6.424269741702034,2.0445555939944597,12.775202780996509,13.597899037058639,37.994705882352946,36.474817335766424,36.44260857971014,40.490002000000004,43.27,46.529999,36.650002,36.650002,36.650002
